Date,Open,High,Low,Close,Adj Close,Volume
2022-05-25,42932.0,43490.0,41102.69921875,41408.5,41342.91015625,15654
2022-05-26,41790.0,42531.0,40566.80078125,41778.30078125,41712.125,50699
2022-05-27,43150.0,45180.0,42930.3984375,44442.1484375,44371.75390625,90562
2022-05-30,44636.05078125,45393.0,44550.0,45042.30078125,44970.95703125,20521
2022-05-31,44810.0,46070.0,44810.0,45194.05078125,45122.46484375,70757
2022-06-01,45500.0,45998.94921875,43819.19921875,44194.30078125,44124.30078125,29060
2022-06-02,44100.0,44193.75,43263.30078125,43548.80078125,43548.80078125,15201
2022-06-03,43950.0,44599.8515625,42131.5,42433.1484375,42433.1484375,27518
2022-06-06,42620.19921875,42800.0,41771.0,42127.94921875,42127.94921875,16143
2022-06-07,41906.25,42225.0,40750.0,41390.75,41390.75,17398
2022-06-08,41250.0,41793.19921875,40918.0,41362.1484375,41362.1484375,11206
2022-06-09,41000.0,41574.6484375,40918.94921875,41512.8984375,41512.8984375,8618
2022-06-10,41300.0,41434.25,41000.0,41346.6484375,41346.6484375,9224
2022-06-13,41100.0,41100.0,40200.0,40537.8984375,40537.8984375,14184
2022-06-14,40500.0,41099.6484375,39856.05078125,39999.75,39999.75,52384
2022-06-15,40540.0,41700.0,40300.1015625,40971.94921875,40971.94921875,29681
2022-06-16,41500.0,41598.80078125,39969.3984375,40044.3984375,40044.3984375,37036
2022-06-17,39950.0,40122.5,38747.44921875,39870.80078125,39870.80078125,48923
2022-06-20,39900.0,40123.0,39200.05078125,39883.6484375,39883.6484375,15474
2022-06-21,40050.0,40150.0,38900.3984375,39232.3984375,39232.3984375,26810
2022-06-22,39200.0,39227.94921875,37825.0,38968.69921875,38968.69921875,24263
2022-06-23,39199.0,39300.0,38650.0,38897.75,38897.75,13378
2022-06-24,39000.0,40100.0,39000.0,40026.80078125,40026.80078125,32477
2022-06-27,40650.0,41180.0,40034.6015625,40190.80078125,40190.80078125,20882
2022-06-28,40100.0,40299.1015625,39580.0,40028.55078125,40028.55078125,11511
2022-06-29,39900.0,41475.30078125,39529.69921875,41027.05078125,41027.05078125,38176
2022-06-30,40903.0,41000.0,40024.05078125,40166.5,40166.5,52445
2022-07-01,40199.0,41599.8984375,40124.94921875,41375.80078125,41375.80078125,13064
2022-07-04,41336.69921875,42220.3515625,40915.05078125,42052.6015625,42052.6015625,19858
2022-07-05,42059.0,42591.8984375,41900.0,42348.25,42348.25,14353
2022-07-06,42400.0,43771.19921875,41914.8515625,43570.8984375,43570.8984375,15361
2022-07-07,43800.0,44250.0,43578.94921875,44014.30078125,44014.30078125,8650
2022-07-08,44014.30078125,44121.5,43411.0,43575.69921875,43575.69921875,11494
2022-07-11,43450.0,43698.8984375,42925.3515625,43399.1015625,43399.1015625,15313
2022-07-12,43127.0,43396.0,42950.0,43088.8515625,43088.8515625,9906
2022-07-13,43300.0,43674.0,42952.1015625,43499.69921875,43499.69921875,14653
2022-07-14,43500.0,43957.55078125,43211.1015625,43684.3515625,43684.3515625,6148
2022-07-15,43465.0,44533.94921875,43465.0,44368.5,44368.5,9745
2022-07-18,44698.30078125,44698.30078125,43800.0,44074.80078125,44074.80078125,8279
