Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,50
2022-02-17,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-02-18,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-02-21,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-02-22,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-02-23,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-02-24,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-02-25,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-02-28,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,0
2022-03-02,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,4
2022-03-03,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,0
2022-03-04,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,0
2022-03-07,15.5,15.5,15.5,15.5,15.5,1
2022-03-08,14.75,14.75,14.75,14.75,14.75,1
2022-03-09,14.75,14.75,14.75,14.75,14.75,0
2022-03-10,14.75,14.75,14.75,14.75,14.75,0
2022-03-11,12.699999809265137,12.699999809265137,12.699999809265137,12.699999809265137,12.699999809265137,1
2022-03-14,12.100000381469727,12.100000381469727,12.100000381469727,12.100000381469727,12.100000381469727,1
2022-03-15,11.5,11.5,11.5,11.5,11.5,1
2022-03-16,10.949999809265137,10.949999809265137,10.949999809265137,10.949999809265137,10.949999809265137,679
2022-03-17,10.449999809265137,10.449999809265137,10.449999809265137,10.449999809265137,10.449999809265137,1607
2022-03-21,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,314
2022-03-22,9.5,9.5,9.5,9.5,9.5,2139
2022-03-23,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,1496
2022-03-24,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,757
2022-03-25,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,2128
2022-03-28,7.800000190734863,7.800000190734863,7.800000190734863,7.800000190734863,7.800000190734863,3105
2022-03-29,7.449999809265137,7.449999809265137,7.449999809265137,7.449999809265137,7.449999809265137,2477
2022-03-30,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,1964
2022-03-31,6.75,6.75,6.75,6.75,6.75,10037
2022-04-01,6.449999809265137,7.050000190734863,6.449999809265137,7.050000190734863,7.050000190734863,76839
2022-04-04,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,12441
2022-04-05,7.75,7.75,7.75,7.75,7.75,5018
2022-04-06,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,3722
2022-04-07,8.5,8.5,8.5,8.5,8.5,25961
2022-04-08,8.100000381469727,8.75,8.100000381469727,8.100000381469727,8.100000381469727,79712
2022-04-11,7.699999809265137,8.449999809265137,7.699999809265137,7.800000190734863,7.800000190734863,35701
2022-04-12,7.550000190734863,8.149999618530273,7.550000190734863,7.699999809265137,7.699999809265137,24071
2022-04-13,7.849999904632568,8.0,7.400000095367432,7.699999809265137,7.699999809265137,36950
2022-04-18,7.5,7.849999904632568,7.349999904632568,7.349999904632568,7.349999904632568,10410
2022-04-19,7.699999809265137,7.699999809265137,7.0,7.0,7.0,59049
2022-04-20,6.650000095367432,6.900000095367432,6.650000095367432,6.650000095367432,6.650000095367432,22116
2022-04-21,6.349999904632568,6.349999904632568,6.349999904632568,6.349999904632568,6.349999904632568,48672
2022-04-22,6.050000190734863,6.599999904632568,6.050000190734863,6.150000095367432,6.150000095367432,93271
2022-04-25,6.300000190734863,6.449999809265137,6.0,6.400000095367432,6.400000095367432,88241
2022-04-26,6.699999809265137,6.699999809265137,6.699999809265137,6.699999809265137,6.699999809265137,8667
